COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),INFORM_2016,Rank_2016
Fiji,FJI,3.1,Low,103,2.954497354,2.8,4.9,3.1,0,7.1,6.9,7.1,2.8,3.7,0,0,0,3.7,3.8,3.1,2.9,6,3.6,0,4.1,1.6,10,2.3,6.1,2.8,2.2,0.1,4.3,3.3,2.3,3.3,4.4,6,0.117647059,,0.253968254,3,111
France,FRA,2.9,Low,115,2.933333333,3.9,4,2.8,7.5,2.5,0,7.4,1.8,1.6,3.8,2.6,4.8,3.1,0.4,0,1.4,0.2,5.1,7.7,0.3,0.3,0.4,0.4,0.4,2,2.9,2.9,2.8,0.9,1.9,0.1,0.7,9,0.176470588,,0.1,2.4,139
Micronesia,FSM,3.4,Medium,92,8,1.7,3.2,0.1,0,5.9,2.3,3.1,6,2.7,0,0,0,4.6,5.4,5.3,3.8,7.2,3.8,0,2.3,1.9,10,5,6.3,5,5.1,6,4.2,4.8,5.6,2.6,6.1,17,0.333333333,,0.849056604,3.3,97
Gabon,GAB,3.4,Medium,92,3.506467662,1.8,3.2,0.1,5.6,0,0,5.1,0.9,6.9,0.1,0.1,0,3.5,4.3,5.6,5.2,0.8,2.5,1,6.1,2.1,0.1,4.9,3.7,6,6.8,6.7,6.9,5.1,2.6,6,6.6,3,0.058823529,,0.507462687,3.5,89
United Kingdom,GBR,2,Very Low,164,3.668965517,1.9,3.4,0.1,5.7,1.9,0,8.3,1.5,1.5,0.1,0.2,0,2.8,0.4,0,1.6,0,4.7,7.3,0.1,0.3,0,1,0.4,1.6,2.4,2.1,2.7,0.8,1.5,0,0.9,11,0.215686275,,0.137931034,1.8,164
Georgia,GEO,3.5,Medium,89,1.505882353,2.7,4.7,7.2,6.1,0,0,6,5.1,4.9,0.1,0.2,0,4.9,2.3,1.1,3.1,4,6.8,9.1,0.5,0.6,4.7,1.6,2,3.2,4.5,4.7,4.2,1.6,1.1,1.4,2.2,3,0.058823529,,0.132352941,3.5,89
Ghana,GHA,4,Medium,71,1.126760563,3.3,3.3,0.1,4.7,1.7,0,4.3,1.3,7.6,3.3,3.2,3.4,4.1,5.3,6.9,5.7,1.5,2.7,3.3,3.4,3,0.1,1.2,2,4.7,4.4,3.4,5.4,5,3.2,6.1,5.7,0,0,,0.211267606,3.8,80
Guinea,GIN,4.2,Medium,61,1.317647059,2.3,3.7,0.1,5.5,2.7,0,4.9,0.7,7.9,0.7,1.4,0,4.6,6.1,9.1,4.7,1.4,2.6,1.6,5.1,5.4,0.2,2.2,3.5,6.9,6.1,5,7.2,7.5,6.4,7.3,8.7,2,0.039215686,,0.147058824,4.6,45
Gambia,GMB,3.7,Medium,79,0.600938967,1.6,2.9,0.1,4.6,1.1,0,2.5,3,6.5,0,0,0,5.7,7.3,8.3,5.6,7,3.5,3.8,2.5,3.1,0.2,5.6,3.1,5.4,4.7,3,6.3,6,5.6,4.9,7.5,0,0,,0.112676056,3.6,86
Guinea-Bissau,GNB,3.7,Medium,79,0.695652174,1.3,2.4,0.1,2.8,0,0,2.1,1.9,7.2,0.1,0.1,0,5.2,6.8,8.9,5.3,3.9,3.1,0,5.8,4.6,0,8.2,5.3,7.7,7.9,7.8,7.9,7.5,6.1,8.2,8.3,0,0,,0.130434783,4.1,66
Equatorial Guinea,GNQ,3,Low,109,4.888888889,1.3,2.3,0.1,2,0,0,2,2.9,6.7,0.1,0.2,0,2.9,3.4,5,x,0.1,2.3,0,6.3,3.4,0,5.5,4.2,7.2,8,x,8,6.3,5.1,6.6,7.2,10,0.196078431,,0.416666667,3.1,105
Greece,GRC,2.7,Low,126,3.93220339,2.8,4.9,8.1,3.8,7.2,0,5,1.9,4.8,0.1,0.1,0,2.9,0.5,0.1,1.8,0.1,4.8,7.4,0.2,0.3,0.3,1.1,0.5,2.3,3.5,2.3,4.6,0.8,2.1,0,0.4,10,0.196078431,,0.237288136,2.4,139
Grenada,GRD,2.5,Low,136,7.306666667,1.4,2.6,3.4,0,0,6,2.5,0.5,3.9,0,0,0,2.9,2.3,2.1,4.7,0.4,3.5,0,0.1,1.2,10,5.1,5.9,3.9,4.8,4.7,4.8,2.8,3,0.6,4.7,20,0.392156863,,0.62,2,159
Guatemala,GTM,4.9,Medium,42,3.136318408,3.6,5.9,9.5,4.2,6.8,3.7,3.7,3.5,5.7,0.3,0.6,0,6.2,5.6,6.8,6.1,2.7,6.8,7.7,0.3,2.5,10,2.9,5.7,5.4,6.4,5.5,7.3,4.1,3.1,4.2,4.9,4,0.078431373,,0.388059701,4.8,38
Guyana,GUY,3.5,Medium,89,2.266666667,2.4,4.2,0.1,6.9,2.5,0,7,3.7,5.3,0.1,0.1,0,3.9,3.8,3.1,5.5,3.5,3.9,5.9,2,2.1,0,0.6,1.2,4.7,5.8,x,5.8,3.3,2.3,3.9,3.6,6,0.117647059,,0.125,3.8,80
Honduras,HND,5.6,High,28,2.787878788,6,5.8,8.1,5.4,6.4,4.6,4,4.9,6,6.1,6.2,5.9,5.5,5.5,5.9,5.7,4.5,5.5,7.6,0.8,1.4,0.8,4.9,2.2,5.3,6.2,5.2,7.2,4.3,3.7,3.7,5.5,5,0.098039216,,0.272727273,4.9,36
Croatia,HRV,2.4,Low,144,3.251612903,2.5,4.4,5.6,6.8,5.8,0,5,3.2,2.1,0.1,0.1,0,2,0.8,0.4,1.1,1.2,3.1,5,0.1,0.4,0.1,1.2,0.5,2.8,4.4,4.4,4.4,0.9,1.6,0.2,1,8,0.156862745,,0.209677419,2.7,122
